Id,Email,PlacaCarro,DataCadastro,Celular,Telefone,CPF,Nome,Tipo,ValorBase,Empresa_Id
1,a@a.com.br,XXX-0000,2025-10-22 18:35:41.543,(00)0000-0000,(00)0000-0000,0000000,- CLIENTE SEM REGISTRO -,1,50.0,1
8,a@a.com.br,XXX-0000,2030-06-25 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Vanessa Amaral,1,0.0,5
9,a@a.com.br,XXX-0000,2031-11-15 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Marcos Cordeiro,1,0.0,3
10,a@a.com.br,XXX-0000,2032-12-27 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Fábio Oliveira,1,0.0,1
11,a@a.com.br,XXX-0000,2032-05-19 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Daniela Cavalcanti,1,0.0,5
12,a@a.com.br,XXX-0000,2032-05-01 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Camila Santana,1,0.0,3
13,a@a.com.br,XXX-0000,2030-04-07 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Thiago Siqueira,1,0.0,12
14,a@a.com.br,XXX-0000,2032-12-15 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Vinicius Santos,1,0.0,5
15,a@a.com.br,XXX-0000,2032-03-08 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Juliana Silveira,1,0.0,16
16,a@a.com.br,XXX-0000,2031-04-07 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,João Barros,1,0.0,17
17,a@a.com.br,XXX-0000,2030-10-03 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Simone Oliveira,1,0.0,2
18,a@a.com.br,XXX-0000,2030-12-10 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Cesar Ribeiro,1,0.0,2
19,a@a.com.br,XXX-0000,2030-06-23 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Mariana Mendes,1,0.0,13
20,a@a.com.br,XXX-0000,2030-03-06 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Diego Fernandes,1,0.0,15
21,a@a.com.br,XXX-0000,2031-09-03 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Camila Cardoso,1,0.0,1
22,a@a.com.br,XXX-0000,2032-12-25 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Simone Pinto,1,0.0,11
23,a@a.com.br,XXX-0000,2031-07-20 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Daniela Mendes,1,0.0,16
24,a@a.com.br,XXX-0000,2031-07-22 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Claudia Gomes,1,0.0,13
25,a@a.com.br,XXX-0000,2032-11-13 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,João Pinto,1,0.0,10
26,a@a.com.br,XXX-0000,2030-04-11 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,José Costa,1,0.0,13
27,a@a.com.br,XXX-0000,2032-10-29 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Vinicius Pinto,1,0.0,4
28,a@a.com.br,XXX-0000,2032-04-07 00:00:00.000,(00)0000-0000,(00)0000-0000,000.000.000-00,Rafael Silva,1,0.0,19
